"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"1749284588067979408",,,,,"Mon Jan 22 04:15:20 +0000 2024","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","생각해보니까 로맨스쪽 가버리면 애들이랑 허그를 못하는게 너무 빡침 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 허그랑 키스 둘다 선택지 넣어달라고~~!!!!!!!!",
"1747040879343501815","1747032516530487687","1524187468438044673",,,"Mon Jan 15 23:39:38 +0000 2024","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","얜 일단 개인적으로는 할신 파트너로 하고 자헤이라 민스크 스토리 전부보기가 목표임 옜날옛적에 할 땐 다 스킵해가지고 다 못본부분이라 재미잇을듯",
"1747032516530487687",,,,,"Mon Jan 15 23:06:24 +0000 2024","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","동생이랑 하는건 일단 전에 명예 클리어 너무 날로 먹어서 정식으로 클리어해보기를 일단 목표로 잡고 있는데 언제 사고날지 모르고 또 안하게 될 수도 있기땜시 ㅋㅋ",
"1747031641577730394",,,,,"Mon Jan 15 23:02:56 +0000 2024","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","이번 다크어지 목표는 풀 컨트롤러 플레이 + 올 다크어지 스토리 보기 + 민타라랑 사귀기다 성향 플레이는 일단 민타라 영입 전인 2막까지는 악으로 가고 이후에는 얘도 세뇌 풀리니까 중립쪽으로 갈듯",
"1744141421895209101",,,,,"Sun Jan 07 23:38:14 +0000 2024","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","심장 1도 안 고쳐줘도 아베르누스 가자가 뜨는구나 ㄷ ㄷ 뭔가 처음엔 뭐야 그럼 내가 고쳐준 의미가 없나..? 싶었는데 심장 고치는건 걍 연애루트 해금되는거고 친구입장에서 살리는 루트도 필요하다는 생각이 들긴 함 ㅇㅇ",
"1740971907779088653",,,,,"Sat Dec 30 05:43:43 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","닼ㅓ지는 푹찍이하고싶다!! 푹찍!!!!! https://t.co/OYwOiHneQI",
"1740507060972962050",,,,,"Thu Dec 28 22:56:35 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","반차 남았는데 오늘 반차나 쓸걸 사무실에 꼴랑 두명있네 ㅋㅋㅋㅋㅋㅋㅋ",
"1740019644369707324",,,,,"Wed Dec 27 14:39:45 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","그나저나 연주 당연히 알피라가 하고 있을줄 알았는데 왠 로시커마인 듣도보도못한 애가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이의잇소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",
"1740019141531386214",,,,,"Wed Dec 27 14:37:45 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","진짜 영입한 동료중에 젤 배드엔딩은 암만생각해도 게일이다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ뭔 야망의신이여 야망의신이 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 조만간 토벌하러 갈수도 있겠음 이놈쉨......",
"1740018874895290705",,,,,"Wed Dec 27 14:36:42 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","글고 오르페우스 말고 황제루트로 가서 레이젤하고는 완전 갈라선줄 알았는데 의외로 기스저라이하고도 협력하고 막 되게 나름대로 잘 지내고 있어서 놀랐음.. 막 나한테 협상하는 방법에 대해 배웠다고 할때는 대견해서 눈물이 막 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",
"1740017846145692116",,,,,"Wed Dec 27 14:32:37 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","드뎌 로시난테 엔딩 ~~! 고생했다 김로시.. 헌신팔라는 정말 힘든길이었다.. https://t.co/B5cINF4thr",
"1740013984504570242","1740013726189908095","1524187468438044673",,,"Wed Dec 27 14:17:16 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","근데 윌도 아베르누스에서 대활약하는거 이야기하는거랑 입고 있는 옷이 나랑같은 그 찢어진 지옥옷 인거 보면 확실히 공식은 윌이랑 라크가 커플인가봄 갑자기 엔딩에 윌이랑 라크랑 나랑 셋이 같이 아베르누스로 돌아가는 선택지 있어서 갑자기 윌이 왜?? 라고 생각했는데 ㅋㅋ",
"1740013726189908095",,,,,"Wed Dec 27 14:16:14 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","그나저나 진짜 라크 생존 엔딩 제발요 라고 하긴 했는데 진짜로 ㅋㅋㅋㅋㅋㅋㅋㅋ 아베르누스 둘이 같이 복귀하는 엔딩이 있을줄은 몰랐네 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 진짜..다행이고.. 이야기하는거보면 약간 자리엘 방해뚫고 정비할수있는 대장간 찾은듯 진짜 희망적 ..!!",
"1740013454692659564",,,,,"Wed Dec 27 14:15:10 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","나 진짜 허그쟁이인데 이 둘한테라도 할 수 있어서 다행이야 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 소원...성취..성불.. https://t.co/frFf9hlaPN",
"1740012067888001419",,,,,"Wed Dec 27 14:09:39 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","게일이 말릴걸 그랬나........... 지금 너무 얘만 이질적인 엔딩이 ㅋㅋㅋㅋㅋㅋ큐ㅠ..",
"1740006531389907384",,,,,"Wed Dec 27 13:47:39 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","진짜로................... 라크를 구원한 대신 게일이를 잃은것 같은 기분이 든다요............... https://t.co/rT5L3vk8lP",
"1740003964836536370",,,,,"Wed Dec 27 13:37:27 +0000 2023","<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>","암만봐도 234번 죄다 꼽주는것 같은데요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무하잔슴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/vmYC4tL0Lz",
